Entry,Entry name,Status,Annotation,Cross-reference (DrugBank)
Q8NFT2,STEA2_HUMAN,reviewed,5 out of 5,
Q9BQ52,RNZ2_HUMAN,reviewed,5 out of 5,
O75387,LAT3_HUMAN,reviewed,5 out of 5,
Q6IWH7,ANO7_HUMAN,reviewed,5 out of 5,
Q96Q83,ALKB3_HUMAN,reviewed,5 out of 5,DB00126;
O15018,PDZD2_HUMAN,reviewed,5 out of 5,
Q9BZA8,PC11Y_HUMAN,reviewed,5 out of 5,
Q8IZP1,TBC3A_HUMAN,reviewed,5 out of 5,
O43581,SYT7_HUMAN,reviewed,5 out of 5,
Q96JT2,S45A3_HUMAN,reviewed,4 out of 5,
P0CG12,DERPC_HUMAN,reviewed,3 out of 5,
Q96KF2,PRAC1_HUMAN,reviewed,3 out of 5,
Q8K0H7,S45A3_MOUSE,reviewed,3 out of 5,
P10275,ANDR_HUMAN,reviewed,5 out of 5,DB07422;DB07039;DB04709;DB07717;DB07454;DB02932;DB08035;DB01481;DB08088;DB08461;DB08087;DB07421;DB01063;DB07423;DB11901;DB01128;DB07286;DB01541;DB14639;DB01564;DB12499;DB04839;DB01406;DB12941;DB09123;DB00255;DB06133;DB01395;DB00858;DB15488;DB11219;DB08899;DB13155;DB00655;DB09086;DB02266;DB01185;DB00623;DB00499;DB11619;DB11064;DB01026;DB15647;DB00367;DB08089;DB05234;DB13934;DB06710;DB02998;DB11429;DB00648;DB08804;DB00984;DB00665;DB06713;DB00717;DB09371;DB00957;DB09389;DB00621;DB01428;DB06412;DB01608;DB11447;DB01708;DB00396;DB07419;DB07769;DB14583;DB00421;DB02901;DB13951;DB06718;DB00675;DB00624;DB13943;DB13944;DB01420;DB13946;DB06870;DB08604;DB08867;
O96017,CHK2_HUMAN,reviewed,5 out of 5,DB06486;DB12010;DB05149;
P29323,EPHB2_HUMAN,reviewed,5 out of 5,DB12010;DB04395;
Q92826,HXB13_HUMAN,reviewed,5 out of 5,
P21757,MSRE_HUMAN,reviewed,5 out of 5,
Q5VWQ8,DAB2P_HUMAN,reviewed,5 out of 5,
P08118,MSMB_HUMAN,reviewed,5 out of 5,
