Entry,Entry name,Status,Protein names,Cross-reference (DrugBank),Annotation
P51587,BRCA2_HUMAN,reviewed,Breast cancer type 2 susceptibility protein (Fanconi anemia group D1 protein),,5 out of 5
P38398,BRCA1_HUMAN,reviewed,Breast cancer type 1 susceptibility protein (EC 2.3.2.27) (RING finger protein 53) (RING-type E3 ubiquitin transferase BRCA1),,5 out of 5
Q9UNQ0,ABCG2_HUMAN,reviewed,Broad substrate specificity ATP-binding cassette transporter ABCG2 (EC 7.6.2.2) (ATP-binding cassette sub-family G member 2) (Breast cancer resistance protein) (CDw338) (Mitoxantrone resistance-associated protein) (Placenta-specific ATP-binding cassette transporter) (Urate exporter) (CD antigen CD338),DB12001;DB08916;DB11363;DB00437;DB12015;DB03496;DB11901;DB06605;DB09274;DB15233;DB11995;DB11817;DB00394;DB15982;DB04851;DB12267;DB00921;DB06772;DB00201;DB04690;DB08907;DB09061;DB11791;DB00958;DB00482;DB00439;DB04540;DB00515;DB00242;DB00631;DB00845;DB09065;DB05239;DB00286;DB12483;DB00091;DB08912;DB09102;DB11963;DB00970;DB02115;DB12941;DB09183;DB01254;DB00694;DB11943;DB01234;DB14649;DB00255;DB01248;DB08930;DB00843;DB05928;DB00997;DB00470;DB11952;DB04881;DB06210;DB09038;DB13874;DB00530;DB11827;DB00783;DB13952;DB13953;DB13954;DB13955;DB13956;DB00655;DB00773;DB00973;DB12500;DB09279;DB00544;DB00158;DB12010;DB11796;DB02703;DB00317;DB01645;DB12141;DB11978;DB13879;DB01016;DB01094;DB14538;DB14539;DB14540;DB14541;DB14542;DB14543;DB14544;DB09054;DB00619;DB00762;DB11633;DB11757;DB00602;DB00709;DB00448;DB14723;DB11732;DB09027;DB01097;DB09078;DB12070;DB06448;DB13125;DB14009;DB00563;DB01204;DB00688;DB14011;DB03467;DB00220;DB11820;DB04868;DB09079;DB00698;DB01051;DB09074;DB09296;DB00338;DB09330;DB00526;DB12612;DB09073;DB00213;DB09297;DB06589;DB15102;DB13878;DB08860;DB08901;DB06813;DB15822;DB01708;DB00175;DB00457;DB00396;DB04216;DB01129;DB00481;DB08896;DB11853;DB11855;DB08864;DB00740;DB12457;DB08931;DB14840;DB15305;DB00503;DB06228;DB09291;DB01098;DB12332;DB06654;DB01232;DB15685;DB11689;DB06290;DB08934;DB00398;DB00795;DB00669;DB01268;DB11644;DB11760;DB00675;DB04348;DB12887;DB01079;DB00966;DB00444;DB09299;DB08880;DB00624;DB13943;DB13944;DB13946;DB11712;DB01685;DB01030;DB14962;DB11652;DB15328;DB15091;DB05294;DB11613;DB08881;DB11581;DB00285;DB00541;DB08828;DB12026;DB00549;DB00495;,5 out of 5
Q8N163,CCAR2_HUMAN,reviewed,Cell cycle and apoptosis regulator protein 2 (Cell division cycle and apoptosis regulator protein 2) (DBIRD complex subunit KIAA1967) (Deleted in breast cancer gene 1 protein) (DBC-1) (DBC.1) (NET35) (p30 DBC),,5 out of 5
Q02297,NRG1_HUMAN,reviewed,"Pro-neuregulin-1, membrane-bound isoform (Pro-NRG1) [Cleaved into: Neuregulin-1 (Acetylcholine receptor-inducing activity) (ARIA) (Breast cancer cell differentiation factor p45) (Glial growth factor) (Heregulin) (HRG) (Neu differentiation factor) (Sensory and motor neuron-derived factor)]",,5 out of 5
P04155,TFF1_HUMAN,reviewed,Trefoil factor 1 (Breast cancer estrogen-inducible protein) (PNR-2) (Polypeptide P1.A) (hP1.A) (Protein pS2),DB04468;DB00481;,5 out of 5
Q9HCU9,BRMS1_HUMAN,reviewed,Breast cancer metastasis-suppressor 1,,5 out of 5
Q8RXD4,BRCA1_ARATH,reviewed,Protein BREAST CANCER SUSCEPTIBILITY 1 homolog (AtBRCA1),,5 out of 5
Q9QZK2,BCAR3_MOUSE,reviewed,Breast cancer anti-estrogen resistance protein 3 homolog (p130Cas-binding protein AND-34),,5 out of 5
O75815,BCAR3_HUMAN,reviewed,Breast cancer anti-estrogen resistance protein 3 (Novel SH2-containing protein 2) (SH2 domain-containing protein 3B),,5 out of 5
